1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,0.11,0.16,0.13,0.1,0.06,0.2,0.05,0.17,0.03,0.18,0.09,0.1,0.05,0.04,0
0.11,1,0.95,0.95,0.93,0.15,0.27,0.19,0.2,0.14,0.3,0.31,0.26,0.26,0.12,0
0.16,0.95,1,0.92,0.9,0.17,0.24,0.14,0.17,0.12,0.32,0.26,0.16,0.22,0.12,0
0.13,0.95,0.92,1,0.9,0.18,0.26,0.08,0.17,0.08,0.31,0.25,0.15,0.2,0.09,0
0.1,0.93,0.9,0.9,1,0.18,0.37,0.13,0.3,0.21,0.34,0.32,0.27,0.29,0.12,0
0.06,0.15,0.17,0.18,0.18,1,0.07,0.62,0.03,0.15,0,0,0.23,0.15,0.07,0
0.2,0.27,0.24,0.26,0.37,0.07,1,0.07,0.66,0.2,0.06,0.06,0.12,0.09,0.09,0
0.05,0.19,0.14,0.08,0.13,0.62,0.07,1,0.09,0.12,-0.01,0,0.18,0.11,0.04,0
0.17,0.2,0.17,0.17,0.3,0.03,0.66,0.09,1,0.12,0.1,0.06,0.12,0.1,0.1,0
0.03,0.14,0.12,0.08,0.21,0.15,0.2,0.12,0.12,1,0.1,0.07,0.09,0.1,0.16,0
0.18,0.3,0.32,0.31,0.34,0,0.06,-0.01,0.1,0.1,1,0.46,0.2,0.26,0.18,0
0.09,0.31,0.26,0.25,0.32,0,0.06,0,0.06,0.07,0.46,1,0.25,0.23,0.14,0
0.1,0.26,0.16,0.15,0.27,0.23,0.12,0.18,0.12,0.09,0.2,0.25,1,0.29,0.06,0
0.05,0.26,0.22,0.2,0.29,0.14,0.09,0.11,0.1,0.1,26,0.23,0.29,1,0.15,0
0.04,0.12,0.12,0.09,0.12,0.07,0.09,0.04,0.1,0.16,0.18,0.14,0.06,0.15,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
