2w,1m,3m,6m ,1yr,2yr,3yr,5yr,10yr,15yr,20yr,30yr
1,1,1,0.782,0.618,0.498,0.438,0.361,0.27,0.196,0.174,0.129
1,1,1,0.782,0.618,0.498,0.438,0.361,0.27,0.196,0.174,0.129
1,1,1,0.782,0.618,0.498,0.438,0.361,0.27,0.196,0.174,0.129
0.782,0.782,0.782,1,0.84,0.739,0.667,0.569,0.444,0.375,0.349,0.296
0.618,0.618,0.618,0.84,1,0.917,0.859,0.757,0.626,0.555,0.526,0.471
0.498,0.498,0.498,0.739,0.917,1,0.976,0.895,0.749,0.69,0.66,0.602
0.438,0.438,0.438,0.667,0.859,0.976,1,0.958,0.831,0.779,0.746,0.69
0.361,0.361,0.361,0.569,0.757,0.895,0.958,1,0.925,0.893,0.859,0.812
0.27,0.27,0.27,0.444,0.626,0.749,0.831,0.925,1,0.98,0.961,0.931
0.196,0.196,0.196,0.375,0.555,0.69,0.779,0.893,0.98,1,0.989,0.97
0.174,0.174,0.174,0.349,0.526,0.66,0.746,0.859,0.961,0.989,1,0.988
0.129,0.129,0.129,0.296,0.471,0.602,0.69,0.812,0.931,0.97,0.988,1
